published_datetime,published_time,publisher,scraped_at,thumbnail_url,title,url
2025-05-18T11:49:51.657890,2 hours ago,Elton John says UK government being ‘absolute losers’ over AI copyright plans,2025-05-18T13:49:51.656859,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Elton John says UK government being ‘absolute losers’ over AI copyright plans,https://news.google.com/read/CBMivgFBVV95cUxNS3pwYkdsbmdkUjE3dUZyTHZyS1ZGWXFLQzR4V1ZXazJ1MDJIVWZqQWNsbHh0N0Y1TWV2T1JtMmlwdVhkTVdqNEZ3UVQ0QXVJcHVQMmZMMWQzU25jaDdZeUNkTV92N0ZZMWlWOEZrYW42ZFk2WDZRdEJPR2FhYUkzN1kwbGNlLXlGcWpCYVdQYU5FdGh3T2FqSFhtdTNNUHJfenRMR1YzbERqZUNJVTJHQlVFR19CcjRHdzVOaTJ3?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T08:49:51.658882,5 hours ago,Elton John brands government 'absolute losers' over AI copyright plans,2025-05-18T13:49:51.658882,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Elton John brands government 'absolute losers' over AI copyright plans,https://news.google.com/read/CBMiWkFVX3lxTE10QVBMOXl5RWNteTVPLWVBTzBxcXZXOVU5UXFndk5ON2FFbnNlVmo5ZGd5czAzdjc5eDA1Q2pabV9SV1VkbU1JeG1NX3FHTFZjdS1lcGZpbHM4d9IBX0FVX3lxTE1hcGt4MHRLSUJaZnlEbjhDbE5VV1laYXZ3N1ZFUlJBaHFUQVpLSTVCNy1FZkJRYlVlRnFqa2R6N1ZfOTk4cndjUFVOV2NNaThGcHA0VVQ0c1FZQ0NPUkhZ?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T13:13:51.659882,36 minutes ago,'Criminal': Elton John condemns UK's AI copyright plans,2025-05-18T13:49:51.658882,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",'Criminal': Elton John condemns UK's AI copyright plans,https://news.google.com/read/CBMirwFBVV95cUxPczFEWGlSVlhyZFNGUHdTakF0dkRCOW9aYm1jV29tWlZRVVl0OVo1cGg0VEp3TXN5SmlUUDFlczliT2NvVTRINl9NdlM2blA1Q3lvd29YdTl6YnZMb25Ra2RYX3V1OXRoLXk4T1E5VmM0RDdDUy1wZWpqdDdWcVpJWDdEdkFha2I0VG02R2Z5a3dUU3RuVXg5NTRLeVdZQUYyQmR6VHIzZE5GQUJiakpz?hl=en-US&gl=US&ceid=US%3Aen
2025-05-17T15:49:51.661678,22 hours ago,"Nvidia CEO: If I were a student today, here's how I'd use AI to do my job better—it ‘doesn’t matter’ the profession",2025-05-18T13:49:51.659882,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL","Nvidia CEO: If I were a student today, here's how I'd use AI to do my job better—it ‘doesn’t matter’ the profession",https://news.google.com/read/CBMirgFBVV95cUxOaHhRWEhzR0xKamlOa285bFptVkQyQ3VOcGh4R21vVTd5dDJfUldLUU5KX3B3YXJtUFU3N1NUZTNUbGw3elZTY0pmOFNjSUpLWUw2UkJJU3QzRXlhNm81VGUyQ2pIaW9jYkVoMjlBaktFakNzTThXYV9BbkY4UEpZOHhaUWVsOXRWU0FlaUZlMlNra0hZWGp3ZEo5YkFlM2xhdzdkcjdpeGxfVkNycWfSAbMBQVVfeXFMTzJwT3RQRzZhS19KMUM5b2tudTNWbHluX0tUVWRTNk55V2pGWGxJam9uVzNjUTNVYW5uNF9FWVp5SHh5d3BOZ2VkTDdTQ1FweFI2WllFZUx4anR0a1Z3M212aENNRzNzemxSZXkybWFsWlI4eEdhUHpZZmoyTGtnWno5SkVKMXRGaGRkS01UTy1iLWUzN0xIUTExM2VrY29ZRGNWTlRndkJEWXlWZDRUb0l3MEE?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T13:00:51.662683,49 minutes ago,Can we save ourselves from the dark side of AI?,2025-05-18T13:49:51.661678,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://thehill.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Can we save ourselves from the dark side of AI?,https://news.google.com/read/CBMifEFVX3lxTE9QS05CdG5fdThwMjh5YjBpYUFoUC1rMG5vUVNoR3BYWDdQUlBvY1B0eUx6Nkdmei1wd3pLQ2lsWURiSFVhUnVVY3lPRmxmR0hlcHVya0o5bWVnQk9JMkNCTlZIVHR6U3BqQ3QtWFc5TDJ4WWJsVEdtcHlUNjDSAYIBQVVfeXFMT1NyQTdqQ0ItX1QyRjUzZjEtYy1yWTEtYWFOT0cxLWlJWFBBc2ZLWXZqRDdLdnNtSTFwaGx5Y1VudE9BTWk4NTVhc2VQUTZESkg5ZlB3c2pIWjFfeTJJei12OHdzaW5ObmpneV9WSnBEZGFaNWQ2QnBRUkFfTW0xTlZwUQ?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T13:03:51.663676,46 minutes ago,AI study finds 'no significant impact on earnings or recorded hours',2025-05-18T13:49:51.662683,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://fortune.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",AI study finds 'no significant impact on earnings or recorded hours',https://news.google.com/read/CBMimAFBVV95cUxQem1INlFsTEZmZHhiU1F0YUl5bjRIS29BSzc2UDBwY0ZPLTJnbWF3bGtrTmRYeEVZakFJT2Z1UHNxU1NlaTg3dUgtZmtmaV9yejlMWk0wdF9xVHk1ZHVMSFpicVVNaDR6OVZEcWp1Sldzbk44VS1EbGZmMF9XNGtuRGZLNHhFdlpEanQxWU9Wd2F1MkN1bE1yZA?hl=en-US&gl=US&ceid=US%3Aen
2025-05-16T13:49:51.664681,2 days ago,MIT Says It No Longer Stands Behind Student’s AI Research Paper,2025-05-18T13:49:51.663676,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.wsj.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",MIT Says It No Longer Stands Behind Student’s AI Research Paper,https://news.google.com/read/CBMioAFBVV95cUxQLUtfcUpnMlZFRjk4OWFhWkJDcDlWWmFjRS1oMGMtWEFORlk2YUt6dENYNFNGMXd4WXFiQ2ZkNndNOWo2bTBOeDlOWFR3YWt5QlNmeGU4R0wyMkR0VU9HU1VROEd1TmVPR19Cd2V2djR1SV9fcDk1UWJoZXBka1V5Vkgzd21nT25mU0pjV1BUVDdZSjB5SEJqNFdQQy1xUEps?hl=en-US&gl=US&ceid=US%3Aen
2025-05-18T11:49:51.665678,2 hours ago,AI breakthrough allows doctors to 'see' dangerous blood clots forming,2025-05-18T13:49:51.664681,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.foxnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",AI breakthrough allows doctors to 'see' dangerous blood clots forming,https://news.google.com/read/CBMimwFBVV95cUxOQS1QaXpTVE93TXpreXpkbGI2bWRRdnZlV3ZwN3VWNlJPVnBBSjZMeklUY2RrYVEtTF84ZFBBZnV1MF9hOGh1TThyQnRVMmR5WnJaWklvM01zU2JKSFoyWWJ1Qno0WHZwclljMGJXSUUtWEE1TEVBY3FuaU1DNzBPaXdiQzViMnBJaHpoekZFVkpoWkJmSEJBRjFwONIBoAFBVV95cUxQWWFKalhUZTVsR0tQalEwLUk3V0ZObmt5ak9MQXhPdlk5cjFGNGtmZ3NLWUhrUUVOajBLLXNCLUFfOUNweWZCQ3RhcVJleVlqREdzRTExRTM5Z1pUbHlDWS04NC1POTRkQWRYVVhCUEtFRFF4RWlFZzNfWTVwQnpxUFJ4aE16blJya2padHhxZF8zUXYxS0l2MjNMd1FtQ3py?hl=en-US&gl=US&ceid=US%3Aen
Yesterday,Yesterday,How Students Are Fending Off Accusations That They Used A.I. to Cheat,2025-05-18T13:49:51.665678,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",How Students Are Fending Off Accusations That They Used A.I. to Cheat,https://news.google.com/read/CBMiiwFBVV95cUxPQ3lGVF9Id1lzdjR6cWQ3dFZDdU1HRXFwMU1SWWpxWHpKaGtuUkRMQ25Db18yQWphV21EV0p6V2t0aUVneVdCZHdGTUxfX3A2UFdFaUNIVHh3YnJSNXVid0V6a0tqeHVOTUpLVDU4RnRpTGl1VHc1S1VPOUtfNVRxS0JIVVN3UUdoZlJZ?hl=en-US&gl=US&ceid=US%3Aen
Yesterday,Yesterday,The AI Hiring Pause Is Officially Here,2025-05-18T13:49:51.666677,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",The AI Hiring Pause Is Officially Here,https://news.google.com/read/CBMipAFBVV95cUxORE1LQ3ZKNV9ZVDRfT19ZeUdsTjZadlM4OVltUVBlRm9ubDZRc09xVTFvLXBSUllaNG9rYk1VdVpzcFlqR0Z3aGViMURvcjFzY1FQVVlkZlNLTUlMUUpiQkladDBicGpKRlY4cndCNk5VbUtCUl9DMms0WTNsUHlfaFBvSkJ6NDZlZU5WSmxDNjBBSVBwSWpYaTlQZUxlcVR4VVlUVQ?hl=en-US&gl=US&ceid=US%3Aen
