published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-16T13:44:59.793633,2 days ago,Line of Control: How India and Pakistan share one of the world's most dangerous borders,2025-05-18T13:44:59.792667,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:44:59.795561,2 days ago,Another Clash Over Kashmir Is Coming,2025-05-18T13:44:59.794634,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://foreignpolicy.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-10T13:44:59.796649,8 days ago,A Timeline of Tensions Between India and Pakistan Over Kashmir,2025-05-18T13:44:59.795561,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.797631,11 days ago,Kashmir: Why India and Pakistan fight over it,2025-05-18T13:44:59.797631,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.799535,11 days ago,Pakistan and India are blaming each other as their Kashmir conflict spirals. Here’s what we know,2025-05-18T13:44:59.798530,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:44:59.800430,4 days ago,India-Pakistan conflict: How real is the risk of nuclear war?,2025-05-18T13:44:59.799535,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-09T13:44:59.801631,9 days ago,India-Pakistan tensions: A brief history of conflict,2025-05-18T13:44:59.801631,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.803522,11 days ago,India vs. Pakistan Is Also U.S. vs. China When It Comes to Arms Sales,2025-05-18T13:44:59.802627,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-12T13:44:59.804658,6 days ago,What We Know About How the 4-Day India-Pakistan Clashes Unfolded,2025-05-18T13:44:59.803522,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.805619,10 days ago,Have India and Pakistan started a drone war?,2025-05-18T13:44:59.804658,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
